Qn,Test,Qn_Text,Subspec,A,B,C,D,E,Ans,Pc_A,Pc_B,Pc_C,Pc_D,Pc_E,Explanation,GPT3_marking,GPT3_explain,Cat,Cat_Long,GPT3_ans_letter,GPT4_marking,GPT4_explain,GPT4_ans_letter,GPT35_marking,GPT35_ans_letter
9991,205045,A 17-year-old man falls at home and suffers a wrist fracture. While he is having a cast applied his parents discuss their concerns with an A+E doctor. The patient has just returned from a month abroad. His parents become increasingly concerned that their son has changed. He is no longer interested in visiting his friends and sits for hours at home doing nothing. They have also noticed a tremor to his hands and some slurring of his speech. His x-ray shows generalised osteoporotic changes and a few small subarticular cysts. The triangular fibrocartilage complex appears to contain some calcification. What is the most likely diagnosis?,SBA: Paediatrics,Wilson disease,Haemochromatosis,Calcium pyrophosphate deposition disease,Enteropathic arthropathy,Alkaptonuria,A,65%,9%,12%,4%,10%,"Explanation:
Wilson disease
Inherited in an autosomal recessive fashion, this disease results from an excess of copper within the body due to the inability of the liver to excrete it. It can present in childhood with cirrhosis but later presentations are more likely to be due to the neuropsychiatric manifestations. Clinically adolescent or adult patients develop tremor and dysarthria due to copper deposition in the lentiform nucleus. The classic diagnostic feature is Kayser-Fleischer pigment rings in the eyes. Radiologically the following features can be seen:
Hepatic manifestations: The liver appears normal on MRI since fatty infiltration effectively cancels out the paramagnetic effects of copper
Musculoskeletal manifestations: Generalised osteoporosis, subarticular cysts, chondrocalcinosis and arthropathy which can mimic CPPD
CNS manifestations: White matter atrophy and T2 hyperintensities predominantly affecting the basal ganglia and thalami. T1 signal is also high in these areas, differentiating it from many of the other basal ganglia disorders. There is a classical feature of ‘sparing of the red nucleus’ leading to an appearance known as the giant panda sign at the level of the pons.
  Alkaptonuria also known as ochronosis
This condition is inherited in an autosomal recessive manner. It is caused by excessive circulating levels of homogentisic acid (HGA) when the enzyme which would usually degrade it is deficient. HGA has an affinity for collagen and accumulates in the connective tissues throughout the body. In visible light HGA has a blackish colour and thus the disease can be diagnosed in infancy when a baby’s nappies are stained black by the presence of HGA in the urine. By the time patients reach their 20s pigmentation may be visible in their skin, particularly the ears. This is initially a dark yellow colour (hence the term ochronosis, from ‘Ochre’ in Greek meaning a dark yellow colour) but can progress to blue-grey and black.
  In imaging chondrocalcinosis is the most prominent feature, with calcification and destruction of the intervertebral discs. Premature osteoarthritic changes to the hands, feet, shoulders, hips and knees will also develop as the collagen deteriorates. Deposition in the heart and kidneys too leads to cardiac and renal failure.
  Haemochromatosis
The primary version of this disease can be inherited in an autosomal recessive fashion. Excess dietary iron is absorbed and this accumulates in all tissues of the body leading to various different problems.
Secondary haemochromatosis can arise if patients receive numerous blood transfusions without sufficient chelation to mitigate against the iron overload.
Cirrhosis – the presence of the excess iron in the liver leads to unusual signal properties on an MRI scan. Iron is paramagnetic and causes spin dephasing. T2* and T2 sequences are particularly vulnerable to this effect but lower than expected signal will be seen on all sequences. Importantly the signal from the spleen and bone marrow should be normal. By contrast they will be involved in cases of transfusional siderosis.
Generalised osteoporosis
Hook like osteophytes on the radial aspect of the metacarpal heads – these are highly characteristic
Chondrocalcinosis, particularly affecting the knees
Insulin dependent diabetes
Congestive cardiomyopathy
Skin pigmentation
  Calcium pyrophosphate dehydrate disease (CPPD) also known as pseudogout
CPPD can present in an acute or subacute fashion but is also seen as a chronic cause of joint inflammation. It may be misdiagnosed as simple osteoarthritis owing to its often bilateral and symmetrical distribution but there are also a couple of areas of the body which can be affected in particular, and which would be unusual for isolated degenerative changes.
The patellofemoral joint – joint space loss here can be extremely striking with almost complete preservation of the joint space at the medial and lateral compartments of the knee
Triangular fibrocartilaginous complex of the wrist – calcification
Radiocarpal joints – degenerative changes without involvement of the DIPs and PIPs
  Enteropathic arthropathy
Sacroiliitis and spondylitis are the hallmarks of enteropathic arthropathy. It is an important seronegative spondyloarthropathy. Outside of the axial skeleton, other features common to all seronegative spondyloarthropathies are also found. These include arthritis in the hands and feet, uveitis, and enthesitis (especially calcaneal). Interestingly although it is most commonly discussed in relation to Crohn’s disease and ulcerative colitis, only 5 and 10% respectively of patients with these conditions will develop enteropathic arthropathy. By contrast of patients with Whipple disease, around 75-90% of them will suffer from enteropathic arthropathy. Infection with Salmonella, Shigella and Yersinia are also known associations.",FALSE,"Calcium pyrophosphate deposition disease (CPPD) is the most likely diagnosis in this case. CPPD is a type of crystal deposition arthritis that is associated with osteoporotic changes and subarticular cysts. It is also associated with triangular fibrocartilage complex calcification, which is what was seen on the x-ray. CPPD is also more common in patients who have recently returned from a long trip abroad, which is the case with this patient.",2,,C,TRUE,"I chose option 4, Wilson disease, because the symptoms and findings described in the scenario are consistent with this condition. Wilson disease is a rare genetic disorder that causes copper to accumulate in the liver, brain, and other vital organs. The symptoms mentioned, such as a change in behavior, tremor in hands, and slurring of speech, can be attributed to the neurological effects of copper accumulation in the brain. 

Additionally, the x-ray findings of generalized osteoporotic changes and subarticular cysts can be associated with Wilson disease, as it can lead to bone demineralization and joint abnormalities. The calcification of the triangular fibrocartilage complex further supports this diagnosis.

The other options do not fit as well with the presented symptoms and findings:
1. Haemochromatosis involves iron accumulation, not copper, and primarily affects the liver, heart, and pancreas.
2. Calcium pyrophosphate deposition disease mainly affects joints and presents with acute inflammatory arthritis.
3. Enteropathic arthropathy is related to inflammatory bowel disease and primarily affects the peripheral joints and spine.
5. Alkaptonuria is a rare genetic disorder that affects the metabolism of tyrosine, causing a buildup of homogentisic acid, leading to dark urine, joint and spine issues, and heart problems.",A,FALSE,D
9766,205045,A 52-year-old man complains of a painful lump in his left foot. He visits his GP who suspects he may have a Morton neuroma and refers him for an ultrasound scan. What is the best position for assessing whether the patient has a Morton neuroma?,SBA: Musculoskeletal and Trauma,Sitting with feet slightly plantar flexed,Passive dorsiflexion,Standing on tiptoes with active dorsiflexion,Lying supine,Sitting with feet on the floor,A,53%,25%,5%,13%,3%,"Explanation:
Morton neuroma
Fibrosis surrounding a plantar digital nerve leads to a hard lump developing in the sole of the foot. Patients complain of a painful lump which feels a bit like walking on a hot lump of gravel. On an MRI scan they are often slightly disguised by their low or isointensity to muscle on T1 weighted sequences and hypointensity on T2 weighted sequences. Curiously for a fibrotic process, they do usually enhance with gadolinium. On ultrasound the classic appearance of a hypoechoic mass situated between but slightly proximal to the metatarsal heads should be sufficient to make the diagnosis. Most are found in the third metatarsal space. The Mulder sign can be performed clinically or with ultrasound and involves eliciting pain and a clicking sound when the metatarsal heads are squeezed together while applying pressure on the dorsum of the foot over the neuroma, or scanning the sole of the foot.
It is said that Morton neuromas are larger and easier to visualise with MRI when the patient is prone, i.e. the foot is slightly plantar-flexed. On ultrasound this translates to a straightforward prone position or one where the patient is sitting on the side of the couch with their feet slightly plantar flexed. One theory is that any physical tension through the metatarsal joints (more likely on supine positioning) causes the neuroma to be pulled up in-between the metatarsal heads.",TRUE,"Sitting with feet slightly plantar flexed is the best position for assessing whether the patient has a Morton neuroma. This position allows the clinician to palpate the area between the metatarsal heads, which is where the neuroma is typically located. This position also allows for maximum compression of the area, which can help to confirm the diagnosis.",3,"3. A question about practical application, how to correctly perform a procedure.

This question falls under category 3: A question about practical application, how to correctly perform a procedure.",E,FALSE,"I chose option 1, passive dorsiflexion, because it is the best position for assessing whether the patient has a Morton neuroma. In this position, the patient's foot is dorsiflexed (toes pulled up towards the shin) by the examiner, which helps to widen the intermetatarsal spaces and stretch the interdigital nerves. This allows the ultrasound to better visualize any potential neuromas or abnormal tissue between the metatarsal bones. Passive dorsiflexion provides optimal visualization of the neuroma, making it easier to identify and diagnose.",B,FALSE,B
10591,205045,A 76-year-old lady with biopsy proven rectal adenocarcinoma undergoes an MRI scan for local staging. She has T3N1M0 disease and surgery is being planned. Her case is discussed at the local MDT and the colorectal surgeon is enquiring about the risk of recurrence. The additional presence of which of the following is responsible for an increase in the risk of recurrence in this patient?,SBA: Gastrointestinal,A low tumour,Nodal disease within the circumferential resection margin,A circumferential resection margin of 3mm,Involvement of the mesorectal fat,Involvement of the muscularis propria,A,30%,18%,8%,38%,6%,"Explanation:
Involvement of the muscularis propria is simply indicative of the tumour being a T3 tumour. Involvement of the mesorectal fat is to be expected in T3 disease. Nodal disease within the CRM is resectable and a CRM of 3mm confers no greater risk.
Low tumours have a higher risk of recurrence since there is less fat within the mesorectal fascia and the CRM is more likely to be involved at an earlier point in time.
  Rectal cancer MRI
The muscularis propria is the outer wall of the rectum and shows up as low signal on T2 weighted sequences.
Since the rectum (like the oesophagus) does not have a serosa, once spread beyond the muscularis propria into the mesorectal fat has occurred (i.e. a T3 tumour), nodal involvement is also feasible. The mesorectal fascia is a thin plane of connective tissue which contains fat, the rectum, local lymph nodes as a distinct anatomical entity and is of paramount importance in rectal cancer management. Spread beyond the mesorectal fascia denotes a T4 tumour. MRI is excellent for local staging of rectal cancer because the mesorectal fascia is seen clearly as a thin black line on T2 weighted sequences and its involvement or lack thereof can be readily discerned. In contrast, the tumour appears as intermediate signal on T2, distorting the normal anatomy. The fascia is also referred to as the ‘CRM’ which stands for circumferential resection margin and relates to the surgical operation performed for rectal tumours, namely a total mesorectal excision (TME). The proximity of the tumour extent to the CRM is prognostically important; tumours with a >1mm margin before they reach the CRM are far less likely to recur. A <1mm margin is taken as involvement of the CRM.
A distinction is also drawn between lower and upper rectal tumours (as defined by distance from the anorectal angle). Inferiorly there is far less fat contained within the mesorectal fascia and consequently tumour can involve the CRM earlier on.
  Rectal cancer staging
The following table heavily paraphrases the TNM stages for rectal cancer. There are multiple subdivisions which are not covered here either. The focus for this table is radiologically distinct entities as well as the points at which the management alters.
  Stage
Radiology
Management
<T3
Not involving the muscularis propria
Surgical resection (Must also be N0. If N1 or N2 then needs neo-adjuvant chemotherapy)
T3
Involving muscularis propria
Neo-adjuvant chemoradiotherapy → surgery →+/- post-op chemotherapy
T4
Beyond the CRM
N1
1-3 nodes
It is important to discern if any of the nodes are situated outside of the CRM – these will not routinely be resected in a TME but can be resected separately or included in radiotherapy fields.
N2
4 or more lymph nodes
M1
External iliac, inguinal nodes, hepatic metastases
Solitary hepatic metastases can potentially still be curatively resected.
Palliative chemotherapy.
Palliative stenting.
 ",FALSE,Involvement of the mesorectal fat is responsible for an increase in the risk of recurrence in this patient because it is an indication that the tumor has spread beyond the rectal wall and into the surrounding lymph nodes. This increases the risk of the tumor spreading to other parts of the body and makes it more difficult to completely remove the tumor during surgery.,3,"3. A question about management, what is the most appropriate treatment?

This question falls under 3. A question about management, what is the most appropriate treatment?",A,FALSE,"I chose option 2, ""Nodal disease within the circumferential resection margin,"" because it indicates that the cancer has spread to the lymph nodes within the area where the surgeon will attempt to remove the tumor. The presence of nodal disease within the circumferential resection margin suggests that there is a higher likelihood of residual cancer cells remaining after surgery, which increases the risk of recurrence. In contrast, the other options do not directly indicate an increased risk of recurrence following surgery.",B,FALSE,E
9811,205045,"73-year-old man who has been awaiting an operation for over a year finally undergoes an elective total hip replacement for degenerative joint disease. Despite receiving the appropriate precautions, a peri-prosthetic infection is suspected when he presents 4 months later. He complains that his pain never fully resolved following the operation and is now becoming yet worse. What would be the best way to establish the diagnosis?",SBA: Musculoskeletal and Trauma,111In – WBC nuclear medicine test,Plain films alone will be sufficient,99m-Tc – MDP nuclear medicine test,MRI with dedicated post-op hip coil,CT with a high kV setting,A,67%,5%,12%,14%,2%,"Explanation:
One of the first widespread uses of laminar flow operating theatres was for joint replacement operations as the potential consequences of an infected prosthesis are significant. An infection acquired at the time of surgery may not manifest for some months afterwards. Sometimes there are indicators of an infection on plain film such as lucent areas or periostitis however in the case of an indolent infection 111In – WBC scanning is the most specific test available. It can also be combined with a 99mTc – Sulphur Colloid scan to improve accuracy. Where the activity of both tracers is matched the scan is normal but where there are hot areas on the WBC scan without corresponding sulphur colloid activity an infection can be diagnosed.",FALSE,"I chose number 4 because MRI with a dedicated post-op hip coil is the most effective way to diagnose a peri-prosthetic infection. It can provide detailed images of the prosthesis, soft tissue, and bone, allowing for the visualization of any abnormalities. It is also more sensitive than other imaging modalities, such as plain film or CT, and can detect even subtle changes that may indicate infection.",2,,D,TRUE,"I chose option 2, the 111In – WBC (Indium-111 White Blood Cell) nuclear medicine test, because it is a sensitive and specific imaging modality for detecting peri-prosthetic infections. In this scenario, the patient presents with symptoms suggestive of an infection following a total hip replacement surgery. The 111In – WBC scan involves labeling the patient's white blood cells with a radioactive tracer, which then accumulates at the site of infection. This allows for accurate localization and identification of an infection, which is crucial for appropriate management and treatment.

Options 1, 3, 4, and 5 are less appropriate for diagnosing a peri-prosthetic infection in this case:

1. Plain films alone may show some signs of infection, such as periosteal reaction or bone destruction, but they are not sensitive or specific enough to establish the diagnosis of a peri-prosthetic infection.

3. 99m-Tc – MDP (Technetium-99m Methylene Diphosphonate) nuclear medicine test is a bone scan that can show increased bone turnover, but it is not specific for infection and can also be positive in cases of aseptic loosening, inflammation, and other conditions.

4. MRI with a dedicated post-op hip coil can be useful for evaluating soft tissue and bone marrow abnormalities, but it may be less accurate in detecting peri-prosthetic infections due to the presence of metal artifacts from the hip prosthesis.

5. CT with a high kV setting can provide detailed images of the bone and surrounding structures, but it is less sensitive and specific for diagnosing peri-prosthetic infections compared to nuclear medicine tests like the 111In – WBC scan.",A,FALSE,B
9291,205045,A 45-year-old man has a CT scan of his pelvis following a motorbiking accident. There are no findings of major trauma but there is a 1.5cm well-rounded mass close to the tail of the pancreas. It is isodense to the spleen. The patient goes on to have a 99mTc – sulphur colloid scan on which the mass shows good uptake. What is the most likely diagnosis?,SBA: Gastrointestinal,Accessory spleen,Lymph node,Pancreatic pseudocyst,False splenic cyst,Exophytic renal angiomyolipoma,A,97%,1%,1%,1%,0%,"Explanation:
Splenic variants
Rarely (<1% of patients) the spleen can migrate from its usual position and end up virtually anywhere else within the abdominal cavity. This is of no clinical consequence unless the consequently long and tortuous vessels supplying it become compromised by torsion or the patient undergoes abdominal surgery. On imaging the wandered spleen should exhibit the usual characteristics of a normally positioned spleen but if there is any doubt as to the diagnosis confirmation with a 99mTc-sulphur-colloid scan can be sought.
Accessory spleens or splenunculi are relatively common (30% of patients) and can usually be found close to the splenic hilum or tail of the pancreas. They follow the spleen on all modalities and should not be mistaken for intra-abdominal lymph nodes.
Polysplenia is a condition which arises as part of left-sided isomerism (also known as heterotaxy). In Left-sided isomerism all of the features which would usually be found on the left side of the body are found on both, or right sided features are found on the left side (such as the liver). Vice versa is true for right-sided isomerism. Right-sided isomerism usually presents earlier on due to the greater complexity of associated cardiac abnormalities.
  Heterotaxy syndrome
Left-sided isomerism
Right-sided isomerism
Bilateral bilobed lungs
Bilateral trilobed lungs
Polysplenism
Asplenia
Left sided liver
Large central liver
   ",FALSE,"I chose this option because the CT scan showed a well-rounded mass close to the tail of the pancreas that was isodense to the spleen. The 99mTc – sulphur colloid scan showed good uptake, suggesting that the mass is likely a cyst. False splenic cysts are often found near the tail of the pancreas and can show good uptake on a 99mTc – sulphur colloid scan.",2,,D,TRUE,"I chose option 5, ""Accessory spleen,"" because the given information in the question supports this diagnosis. The mass is described as well-rounded, isodense to the spleen, and shows good uptake on a 99mTc-sulphur colloid scan. These characteristics are typical of an accessory spleen, which is a benign congenital anomaly where there is ectopic splenic tissue. Accessory spleens are often found near the tail of the pancreas and can mimic other types of masses. The uptake of the radiotracer in the 99mTc-sulphur colloid scan is a key finding that supports the accessory spleen diagnosis, as it indicates that the mass is functioning splenic tissue.",A,FALSE,B
14503,205045,A 75-year-old woman taking warfarin for AF falls and sustains a head injury. She undergoes a CT scan which shows an intraparenchymal haemorrhage. She is managed conservatively and 36 hours later undergoes an MRI scan for follow up. What will the likely appearance of the haemorrhage be now? Select ONE answer only.,SBA: Central Nervous and Head & Neck,Dark on T1 and dark on T2,Isointense on T1 and bright on T2,Dark on T1 and bright on T2,Bright on T1 and dark on T2,Bright on T1 and bright on T2,A,31%,13%,4%,47%,5%,"Explanation:
At 2 days old, the bleed is acute; iso/dark on T1 and dark on T2. Chronic bleeds are dark on T1 and dark-rimmed on T2 (bright centre).
This question is to do with the imaging characteristics of blood within the brain. We can think of the intracranial space as a closed box as far as oxygen tensions go which means that blood degrades in a predictable fashion and therefore has predictable appearances on T1 and T2 according to the changes in the haemoglobin molecule. There are a few different methods to help remember the changes in appearance, one of which is the table below:
  Time-frame Haemoglobin T1 T2 Mnemonic
Hyperacute (hours)   Iso Bright - IBBY
Acute (0-2 days) Intracellular deoxyHb Dark / Iso Dark - IDDY
Early subacute (3-7 days) Intracellular metHb Bright Dark - BIDDY
Late subacute (8-30 days) Extracellular metHb Bright Bright - BABY
Chronic (> 30 days) Intracellular haemosiderin Dark Dark rim - DODO
  In real life and for the 2b exam the important distinction is around the subacute stages.
In that case, by and large, if it is bright on T1 it is subacute and T2 then decides if it is early or late subacute. The timeframes given are also important and can form the basis of 2a exam questions.
 Signal from chronic haematoma often causes confusion since the T2 signal in particular can be quite variable. In general the haematoma will show a dark haemosiderin ring on T2 weighted images but since the centre becomes effectively CSF, or CSF-like fluid, it can follow CSF signal and would therefore return high signal on T2 weighted sequences.
  Of the other answers provided therefore:
Bright on T1 and dark on T2 = Early subacute
Dark on T1 and bright on T2 = Chronic
Dark on T1 and dark on T2 = Acute
Isointense on T1 and bright on T2 = Hyperacute
Bright on T1 and bright on T2 = Late subacute",FALSE,"The correct answer is 3. Dark on T1 and bright on T2. This is because intraparenchymal haemorrhages appear dark on T1 and bright on T2 due to the presence of methaemoglobin, which has high T2 signal and low T1 signal.",1,"3. A question about interpretation of data, such as lab results or imaging?

3. A question about interpretation of data, such as lab results or imaging.",D,FALSE,"I chose option 2 (Dark on T1 and bright on T2) because it best represents the typical appearance of a subacute intraparenchymal hemorrhage on MRI at 36 hours post-injury. 

At this stage, the hemorrhage is in the subacute phase, where the hemoglobin in the blood starts to break down into various products. One of these products is extracellular methemoglobin, which typically appears hypointense (dark) on T1-weighted images and hyperintense (bright) on T2-weighted images. This is due to the paramagnetic properties of methemoglobin, which cause these distinct signal changes on MRI.",C,TRUE,A
13867,205045,You are asked to review the MRI scan of a 22-year-old footballer who has suffered a cruciate ligament injury following a tackle. Which SINGLE statement regarding the cruciate ligaments of the knee is FALSE?,SBA: Musculoskeletal and Trauma,The PCL attaches distally to the lateral epicondyle of the femur,The ACL is the weaker of the two ligaments,The ACL attaches distally to the posterior part of the lateral condyle of the femur,The two ligaments cross each other,The ACL arises from the anterior part of the intercondylar area of the tibia,A,53%,15%,18%,4%,10%,"Explanation:
There are two cruciate ligaments that help to stabilize the knee joint. They connect the femur and the tibia and cross each other in doing so.
The anterior cruciate ligament (ACL) is the weaker of the two ligaments. It arises from the anterior part of the intercondylar area of the tibia and extends superiorly, posteriorly and laterally to attach to the posterior part of the lateral condyle of the femur.
The posterior cruciate ligament (PCL) arises from the posterior part of the intercondylar area of the tibia and passes superiorly and anteriorly on the medial side of the ACL to attach to the anterior part of the lateral surface of the medial condyle of the femur.",TRUE,"The PCL attaches distally to the medial epicondyle of the femur, not the lateral epicondyle. The lateral epicondyle is the attachment site for the lateral collateral ligament (LCL).",1,"This question falls under category 1: Basic factual recall, either of basic science, physics, anatomy or regarding a procedure.",C,TRUE,"I chose option 2 because it is the false statement regarding the cruciate ligaments of the knee. The statement says that the posterior cruciate ligament (PCL) attaches distally to the lateral epicondyle of the femur. However, the PCL actually attaches distally to the medial epicondyle of the femur, not the lateral epicondyle.",A,FALSE,B
14285,205045,You are reviewing the PET-CT scan of a patient with a known lung malignancy. The scan confirms a thoracic lesion showing avid uptake but there is also avidity in the right vocal cord. What is the likely location of the primary lesion? Select ONE answer only.,SBA: Cardiothoracic and vascular,AP window,Right upper lobe,Lingular,Right middle lobe,Right paratracheal,A,64%,13%,2%,2%,19%,"Explanation:
Focal unilateral vocal cord uptake on a PET-CT scan is more likely to be due to the increased workload of the contralateral vocal cord muscles compensating for ipsilateral paralysis from involvement of the ipsilateral recurrent laryngeal nerve in the chest rather than metastatic infiltration of the contralateral vocal cord itself.
Vocal cord paralysis is a known sign of thoracic malignancy owing to innervation by the recurrent laryngeal nerve.
Left - passes through the aortopulmonary window, under the aorta 
Right - passes under the right subclavian artery
  Infiltration of one of these nerves would lead to a unilateral vocal cord palsy. Since the left has a longer thoracic course, it is at greater risk of involvement in a thoracic malignancy. Infiltration may be by the index mass itself, or by an involved lymph node distant from the primary mass.",FALSE,The presence of avid uptake in the right vocal cord suggests that the primary lesion is located in the right upper lobe. This is because the right vocal cord is located in the same area as the right upper lobe and the uptake of the PET-CT scan indicates that the lesion is located there.,2,,B,TRUE,"I chose option 2 (AP window) because the PET-CT scan shows avidity in both the thoracic lesion and the right vocal cord. The AP (aortopulmonary) window is a mediastinal location, and primary tumors in this area can cause direct invasion or compression of the recurrent laryngeal nerve, which controls the vocal cords. This involvement of the right vocal cord suggests that the primary lesion is located in the AP window, as it is more likely to affect the nerve in this location compared to other options.",A,FALSE,B
10816,205045,A 59-year-old man known to have HIV undergoes a CXR which shows new nodular shadowing in the right upper lobe. What is the most likely diagnosis?,SBA: Cardiothoracic and vascular,Tuberculosis,PCP,Cryptococcus,Histoplasma,CMV,A,63%,19%,7%,5%,6%,"Explanation:
The opportunistic infections consequent on AIDS have a variety of radiological manifestations. The normal range for CD4 lymphocytes is 800-1000 per mm3. As the patient becomes increasingly immunocompromised different diseases appear.
  Image © Medical Exam Prep
  Tuberculosis
In AIDs patients the radiological appearance of an infection with tuberculosis changes depending on the CD4 count although, of the HIV related diseases, tuberculosis can occur at a far higher CD4 count.
<350cells/mm3 – resembles post-primary TB
<200cells/mm3 – resembles primary TB or miliary TB
Primary tuberculosis leads to consolidation with lymph node enlargement and pleural effusions. Of note the lymph nodes can be low in attenuation with rim enhancement.
Post-primary tuberculosis is often seen as cavitation in upper lobe consolidative lesions on a background of characteristic tree-in-bud appearance. It can progress to fibrosis with volume loss and traction bronchiectasis.
  There are a number of eponymous features of tuberculosis infection.
A Simon focus – this is the healed site of a primary infection in the apex of the lung
A Ghon lesion – this is a calcified lugn lesion <5mm in diameter
A Ranke complex – this refers to the presence of a Ghon lesion as well as calcified lymph nodes
A Rasmussen aneurysm – this is a pulmonary artery aneurysm within the wall of a tuberculous cavity
    Pneumocystis carinii pneumonia (PCP) – also known as pneumocystis jirovecii pneumonia (PJP)
PCP has many different appearances on imaging. Bilateral ground glass opacification (GGO) is the most consistent feature and is often seen in a perihilar and basilar distribution. Approximately half of cases show a patchwork pattern of GGO where there is sparing of some pulmonary segments. The ‘black bronchus’ sign can be seen where the extent of ground glass opacification causes the bronchi to appear black against the GGO. Lung cysts (pneumatocoeles) are also a feature, hence the name. PCP is usually not thought to be associated with lymph nodes or effusions but either or both can be seen in approximately 15% of cases. Similarly pneumothoraces are a complicating feature in around 12% of cases. Largely speaking however these three are usually described to be absent in an exam question setting.
Owing to the severity of the illness, many patients receive prophylaxis with aerosolized pentamidine and this can lead to an alternative presentation with upper lobe disease. These patients are more likely to experience a spontaneous pneumothorax than those not on prophylaxis.
The presenting symptoms of patients with PCP are relatively non-specific: dysponea, dry cough, and malaise. The CD4 count, if given, should be <200cells/mm3.
  CMV pneumonia 
Infection with CMV is common among AIDS patients but not all cases are diagnosed prior to the autopsy prevalence of over 50%; it does not cause significant morbidity or mortality. When it does manifest radiologically the findings are relatively non-specific with bronchiectasis, nodules and hazy infiltrates seen in a bilateral symmetrical distribution. It is often diagnosed concurrently with Kaposi sarcoma. There can be significant overlap between the appearances of CMV pneumonia and PCP. The main differences to look for would be an apical predominance for PCP (especially in those taking prophylactic pentamidine), and the presence of cysts in PCP.
  Cryptococcal pneumonia 
Masses and nodules with or without both lymph nodes and effusions are the main findings for cryptococcal pneumonia in AIDs patients. Cavity formation within lung masses can also be seen ergo cryptococcal pneumonia is one of the differential diagnoses for cavitating lung lesions. The patients often also have concurrent cerebral cryptococcal disease. The fungus is found in bird excreta which can sometimes be a pointer in an exam question setting.
  Histoplasmosis
In immunocompetent individuals infection with histoplasmosis is sub-clinical in the vast majority of cases. In immunodeficient patients however it is a different story; it can be fatal. AIDs patients are at risk if their CD4 count is below 150cells/mm3.
Patients present in a non-specific manner with fever, malaise, diarrhoea, and vomiting but around half will have no CXR findings. On CT miliary disease is seen as well as reticulonodular and air space opacities. Like cryptococcal, histoplasma is found in bird excreta.",TRUE,"I chose this answer because tuberculosis is the most common cause of nodular shadowing in the right upper lobe of a person with HIV. Tuberculosis is an infectious disease caused by the bacteria Mycobacterium tuberculosis, which can affect any part of the body, including the lungs. People with HIV are at an increased risk of contracting tuberculosis due to their weakened immune system.",2,,A,TRUE,"I chose option 2, Tuberculosis, as the most likely diagnosis for the following reasons:

1. The patient is a 59-year-old man with a known history of HIV, which puts him at a higher risk for opportunistic infections, including tuberculosis (TB).

2. The CXR shows new nodular shadowing in the right upper lobe, which is a common radiographic finding in patients with pulmonary tuberculosis. TB often presents as nodular infiltrates or cavitations in the upper lobes of the lungs.

3. Although the other options (PCP, Cryptococcus, Histoplasma, and CMV) are also potential opportunistic infections in HIV patients, their typical radiographic findings do not match the described CXR findings in this case as closely as tuberculosis does.

However, it is important to note that a definitive diagnosis would require further investigation, such as sputum samples for acid-fast bacilli (AFB) staining and culture, as well as potentially a biopsy or bronchoscopy.",A,FALSE,E
14067,205045,"A 14-year-old patient undergoes MRCP for further investigation of new onset diabetes and deranged liver function tests. This demonstrates a rounded pancreatic head with absence of the neck, body and tail of pancreas. Only fat signal is seen in the pancreatic bed in these regions. The hepatic ducts and gallbladder appear normal on fluid sensitive sequences, but no pancreatic duct is identified within the pancreas bed distal to the pancreatic head. What is the most likely underlying diagnosis? Select ONE answer only.",SBA: Gastrointestinal,Dorsal pancreatic agenesis,Ventral pancreatic agenesis,Lipomatosis,Steroid use,Cushing syndrome,A,80%,9%,9%,1%,1%,"Explanation:
The dorsal pancreas is the neck, body and tail. The ventral pancreas is the head.
The key differentiator between dorsal pancreatic agenesis and lipomatosis is the absence of the pancreatic duct. If no duct is visualised, this suggests agenesis over lipomatosis. Furthermore, lipomatosis usually affects the whole gland and does not spare the pancreatic head. Dorsal agenesis is much more common than total pancreatic agenesis.
The most common cause of pancreatic lipomatosis in children is cystic fibrosis, the second most common cause is Shwachman-Diamond syndrome. Additional features of this condition include short stature with metaphyseal chondroplasia and eczema. Steroid use and Cushing syndrome are also associated with lipomatosis.",FALSE,"Ventral pancreatic agenesis is the most likely underlying diagnosis in this case. This condition is characterized by the absence of the neck, body, and tail of the pancreas, with only fat signal seen in the pancreatic bed in these regions. Additionally, the pancreatic duct is not identified distal to the pancreatic head. This is in contrast to lipomatosis, which is an accumulation of fat in the pancreas, and steroid use, Cushing syndrome, and dorsal pancreatic agenesis, which all involve the presence of the neck, body, and tail of the pancreas.",2,,B,FALSE,"I chose option 1, ventral pancreatic agenesis, because the description of the MRCP findings matches this condition. The absence of the neck, body, and tail of the pancreas, along with only fat signal seen in the pancreatic bed in these regions, suggests that a part of the pancreas is missing. Ventral pancreatic agenesis is a congenital anomaly where the ventral part of the pancreas fails to develop, which can result in the absence of the neck, body, and tail of the pancreas. The other options do not fit the description of the findings, as they do not typically present with the absence of significant portions of the pancreas.",B,TRUE,A
